名字,邮件地址,电话
四川新力光源有限公司,82303456@163.com ,028 87838189  028 87826661
成都今天化工有限公司,jt-zhanghong@163.com,028 87077741
锦江睿奇科贸服装店,service@texsources.com,028 86659557
四川想真企业有限公司 ,info@touki.cn,028 82762268
成都印钞公司,qbsinfo@sohu.com?,028 82756327
成都科创电子有限公司,lyjhys@126.com,028-85155398
昂特电子元件经营部,,028 68319736 028 66803571
成都兴奥邦服饰有限公司168,ifaxing.cn@gmail.com,028-87429893 028-87428853
上海拓菲电子元件有限公司,webmaster@cp315.com,028-87357696
成都邓佳贸易有限公司电器部,DLKFQ@263.net,028 85040085 028 85435692?
西安市西无二电子信息集团有限公司驻成都办事处,,028-89898989 028-89898989
小龙人二手儿童用品有限公司,kse_315@126.com ,028-81947642?
刘剑龙（个体经营）,ggb@shaanxi.cn ,028-85995707
成都坷路科技实业有限公司西门子电机销售部,,028-85225003 028-85233963?
扬利德光电有限公司,,028-85789019
成都市醒目电子经营部,Kqchendu@mail.sc.cninfo.net,028 80617673 028 82835679
四川半球科技有限责任公司业务部?,magangchao@163.com,028-65685558 028-86135013
成都成量工具集团有限公司机械装备厂,,028 83059589 028 83059588
博克科技有限公司?,manager@tylb.cn,13550254765?
成都卓立电子有限公司,zhaoxm@51report.com,
成都信利达光电仪器有限公司,sales@xuri-sh.com ,
深圳市广联威科技有限公司（成都办事处）,,028 87539738
成都市格虹电子科技有限公司,cdghdz@foxmail.com,028-85157680 028-028-85160926
四川鲍尔科技公司,asklight@gmail.com,028-87073426 028-87070966?
成都耀能科技发展有限公司,,028-84318821 028-84300810
成都百斯特电子原件厂,,028-8394339
成都万星高科技有限公司,,028-85456020 028-85434262
成都威尔森科技发展有限责任公司,veersun@veersun.com,028-66468948/66468949/66468951
大唐电业,info@cpcec.com,0311-72548888?
鼎网电子科技有限公司,px-tianjin@hotmail.com,
成都东方易事特科技有限公司(市场部),medfda@163.com,028 85565785 028 85565785
成都市恩瑟尔科技有限公司,,028-85222122
成都坷路科技实业有限公司,cdkolu@163.com,028-85243957 028-85233963
四川光恒通信技术有限公司,marketing@cnsunstar.com,028 87507888-8828 028 87519870
成都国正电子有限责任公司,cdgz@e-guozheng.com ,028 66777736 028 66777717
西昌富万利食品有限公司,center@scnjw.gov.cn ,028 82957256 028 87381663
成都市天府石墨坩埚有限公司,service@uyour.com,028 85020213 028 85032013
四川祥和涂料有限公司,master@jiaomai.com,028 85177430 028 85193596
四川金网通电子科技有限公司,dvb_m@scjwt.com ,028 66315090 028 66315094
四川茂文贸易集团有限责任公司,kefu1@chb2b.net,028 83693517 028 83693517
四川威克力纺织制品有限公司,info@cnfashion.net,028 84397826 028 84397926
四川省海鑫实业有限责任公司,net@cheminfo.gov.cn,028 68099858/68099826/68690296 028 68099870
成都市武侯区泰利家具厂,,028 68596149 028 68596149
中蓝晨光化工研究院有限公司,cgrici@hotmail.com,
成都君竹经络美容技术服务有限公司,,028 80334518
成都国海汽车电器有限公司,master@jiaomai.com,028 66462855/66462853 028 85366725
四川华盛迅捷机电科技发展有限公司,,028 87062303 028 87062302?
四川省崇州市恒达电子厂,czsp@swww.com.cn ,028 82250306/82250666 028 82250309
四川富地贸易有限责任公司,fukuji@163.com,028 81198116
成都卓筒井工贸有限公司,cdztj@live.cn,?028 85134965 028 85134926?
成都天艺新商贸有限责任公司,252881757@qq.com,028 87633753 028 87621075
成都东方人健康产业有限责任公司,hwb@dongfangren.com,028 87785855 028 87785857
四川天翔机电设备有限责任公司,winny@swt-sfly.com,028 87078905 028 87078907?
成都亨通门控科技有限公司,ht@hengtongtec.com,028 82206940 028 82275626?
成都兴邦地板有限公司,xuyuanjun126@126.com,028 86962783 028 86962725?
成都市三极机械有限公司,56@56products.com,028 85029192 028 85024191
成都亚先晶泰新材料有限公司,protek@pro-tek.cn,028 85483173 028 85483171
成都奥能知科技有限公司,yp@jiaoyitong.com ,028 85121581 028 85223962
四川省丝绸进出口集团有限公司,Dingli-law@Dingli-law.com,028 86754856
